ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
DBP,small_airport,Debepare Airport,360,OC,PG,PG-WPD,Debepare,AYDB,DBP,DBP,"141.905555556, -6.30861111111"
DCK,small_airport,Dahl Creek Airport,260,NA,US,US-AK,Dahl Creek,DCK,DCK,DCK,"-156.904998779, 66.9432983398"
DDM,small_airport,Dodoima Airport,75,OC,PG,PG-NPP,,,DDM,DDM,"147.809444444, -8.17736111111"
DDT,small_airport,Duffys Tavern Airport,2420,NA,US,US-AK,Slana,DDT,,DDT,"-143.92100524902344, 62.72460174560547"
DE00,small_airport,Doyle's Airport,51,NA,US,US-DE,Felton,DE00,,DE00,"-75.57710266113281, 39.02069854736328"
DE04,small_airport,Newberg Airport,20,NA,US,US-DE,Smyrna,DE04,,DE04,"-75.57499694824219, 39.29169845581055"
DE09,small_airport,Johnsons Airport,43,NA,US,US-DE,Magnolia,DE09,,DE09,"-75.4885025024414, 39.068199157714844"
DE10,small_airport,Kimbowrosa Farm Airport,40,NA,US,US-DE,Milford,DE10,,DE10,"-75.46630096435547, 38.966800689697266"
DE11,small_airport,Drummond Airport,33,NA,US,US-DE,Milford,DE11,,DE11,"-75.4010009765625, 38.90570068359375"
DE12,small_airport,Owens Field,50,NA,US,US-DE,Ellendale,DE12,,DE12,"-75.4126968383789, 38.80569839477539"
DE14,small_airport,Huey Airport,45,NA,US,US-DE,Bridgeville,DE14,,DE14,"-75.53489685058594, 38.74399948120117"
DE15,small_airport,Pevey Airport,40,NA,US,US-DE,Seaford,DE15,,DE15,"-75.69969940185547, 38.61259841918945"
DE17,small_airport,Sugar Hill Airport,45,NA,US,US-DE,Greenwood,DE17,,DE17,"-75.58329772949219, 38.77790069580078"
DE19,small_airport,Duffy's Airport,69,NA,US,US-DE,Townsend,DE19,,DE19,"-75.7416000366211, 39.325801849365234"
DE20,small_airport,Spirit Airpark,80,NA,US,US-DE,Townsend,DE20,,DE20,"-75.74579620361328, 39.373600006103516"
DE21,small_airport,West Private Airport,21,NA,US,US-DE,Roxana,DE21,,DE21,"-75.16549682617188, 38.51729965209961"
DE23,small_airport,Ockel Farms Airport,47,NA,US,US-DE,Milton,DE23,,DE23,"-75.36000061035156, 38.750301361083984"
DE25,small_airport,Eagle Crest-Hudson Airport,28,NA,US,US-DE,Milton,DE25,,DE25,"-75.23359680175781, 38.776100158691406"
DE27,small_airport,Warrington Field,26,NA,US,US-DE,Selbyville,DE27,,DE27,"-75.17489624023438, 38.46260070800781"
DE29,small_airport,Scotty's Place Airport,40,NA,US,US-DE,Smyrna,DE29,,DE29,"-75.64409637451172, 39.375099182128906"
DE32,small_airport,Belfair Airport,64,NA,US,US-DE,Felton,DE32,,DE32,"-75.61669921875, 38.974998474121094"
DE33,small_airport,Okolona Plantation Airport,61,NA,US,US-DE,Middletown,DE33,,DE33,"-75.69750213623047, 39.4827995300293"
DE34,small_airport,Townsend A Airport,65,NA,US,US-DE,Townsend,DE34,,DE34,"-75.66300201416016, 39.41429901123047"
DE49,small_airport,Josephs Airport,42,NA,US,US-DE,Georgetown,DE49,,DE49,"-75.3552017211914, 38.63759994506836"
DER,small_airport,Derim Airport,4850,OC,PG,PG-MPL,Derim,AYDE,DER,DEM,"147.107222222, -6.14472222222"
DEX,small_airport,Nop Goliat Airport,198,AS,ID,ID-PA,Dekai - Yahukimo,WAVD,DEX,,"139.482006, -4.8557"
DFCA,small_airport,Kaya Airport,984,AF,BF,BF-SMT,Kaya,DFCA,XKY,,"-1.100000023841858, 13.067000389099121"
DFCB,small_airport,Barsalogho Airport,1083,AF,BF,BF-SMT,Barsalogho,DFCB,,,"-1.0670000314712524, 13.399999618530273"
DFCC,small_airport,Ouahigouya Airport,1106,AF,BF,BF-YAT,Ouahigouya,DFCC,OUG,,"-2.4170000553131104, 13.567000389099121"
DFCD,small_airport,Didyr Airport,958,AF,BF,BF-SNG,Didyr,DFCD,,,"-2.617000102996826, 12.550000190734863"
DFCE,small_airport,Batie Airport,984,AF,BF,BF-NOU,Batie,DFCE,,,"-2.9170000553131104, 9.883000373840332"
DFCG,small_airport,Kongoussi Airport,1056,AF,BF,BF-BAM,Kongoussi,DFCG,,,"-1.5329999923706055, 13.317000389099121"
DFCI,small_airport,Titao Airport,1047,AF,BF,BF-LOR,Titao,DFCI,,,"-2.0829999446868896, 13.767000198364258"
DFCJ,small_airport,Djibo Airport,1001,AF,BF,BF-SOM,Djibo,DFCJ,XDJ,,"-1.6330000162124634, 14.100000381469727"
DFCK,small_airport,Koudougou Airport,1001,AF,BF,BF-BLK,Koudougou,DFCK,,,"-2.4000000953674316, 12.267000198364258"
DFCL,small_airport,Leo Airport,1181,AF,BF,BF-SIS,Leo,DFCL,XLU,,"-2.0999999046325684, 11.100000381469727"
DFCM,small_airport,Manga Airport,820,AF,BF,BF-ZOU,Manga,DFCM,,,"-1.0670000314712524, 11.666999816894531"
DFCP,small_airport,Po Airport,1050,AF,BF,BF-NAO,Po,DFCP,PUP,,"-1.149999976158142, 11.149999618530273"
DFCR,small_airport,Poura Airport,853,AF,BF,BF-BAL,Poura,DFCR,,,"-2.75, 11.616999626159668"
DFCS,small_airport,Seguenega Airport,1139,AF,BF,BF-YAT,Seguenega,DFCS,,,"-2, 13.432999610900879"
DFCT,small_airport,Tenado Airport,951,AF,BF,BF-SNG,Tenado,DFCT,,,"-2.5829999446868896, 12.199999809265137"
DFCU,small_airport,Gourcy Airport,1050,AF,BF,BF-ZON,Gourcy,DFCU,,,"-2.367000102996826, 13.199999809265137"
DFCY,small_airport,Yako Airport,984,AF,BF,BF-PAS,Yako,DFCY,,,"-2.2829999923706055, 12.949999809265137"
DFEA,small_airport,Boulsa Airport,984,AF,BF,BF-NAM,Boulsa,DFEA,XBO,,"-0.5669999718666077, 12.649999618530273"
DFEB,small_airport,Bogande Airport,984,AF,BF,BF-GNA,Bogande,DFEB,XBG,,"-0.16699999570846558, 12.982999801635742"
DFEC,small_airport,Komin-Yanga Airport,1116,AF,BF,BF-KOP,Komin-Yanga,DFEC,,,"0.15000000596046448, 11.699999809265137"
DFED,small_airport,Diapaga Airport,951,AF,BF,BF-TAP,Diapaga,DFED,DIP,,"1.784631, 12.060324"
DFEE,small_airport,Dori Airport,919,AF,BF,BF-SEN,Dori,DFEE,DOR,,"-0.032999999821186066, 14.032999992370605"
DFEF,small_airport,Fada N'gourma Airport,1011,AF,BF,BF-GOU,Fada N'gourma,DFEF,FNG,,"0.3499999940395355, 12.032999992370605"
